MODULE
CES bridge
"Capital deepening - National currency per hour - Chain linked volume (rebased) - Growth rate, over 1 year"
"Multifactor productivity (hour based) - National currency per unit of total inputs - Chain linked volume (rebased) - Growth rate, over 1 year"
Net capital stock  - ECU/EUR - Constant prices -ECU/EUR
Net capital stock  - National currency - Constant prices
Total factor productivity  - National currency per unit of total inputs - Index
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
