country_name,reference_year,prod_nom_ppp_per_hour,coe_nom_ppp_per_hour_corrected,labour_share_corrected,prod_real_ppp_per_employee,prod_real_ppp_per_employed,wage_pe_fte_real_ppp
Canada,2023,0.054794808661553174,0.033102917164677656,0.604125061721483,97.92916185225677,90.98463951012803,69299.313
France,2023,0.04913779036228203,0.03261751971700565,0.6637970384204073,105.14238270829485,93.62324684981083,60140.542
Germany,2023,0.056219911257326206,0.035311662825754285,0.6280988716635995,99.96109236499953,91.720041819963,68104.229
Italy,2023,0.044128448884348484,0.024978369493023705,0.5660377857034321,116.63196790473151,89.68572864938243,50514.489
Japan,2023,0.03364384016786891,0.02085941645348516,0.6200070012639837,90.68601234891415,80.7711776581623,49173.069
United Kingdom,2023,0.04701538651485518,0.029212786252310267,0.6213452322269024,109.55368644349782,94.87687727516133,62797.046
United States,2023,0.05808339002150714,0.03373301701142684,0.5807687361040077,156.10360178883414,146.79426755106545,82078.428
