variable,coefficient,std_error,t_or_z_stat,p_value
Intercept,0.6252052519954562,0.19034185791146638,3.284644054941702,0.0010211128331964715
x,0.08751581969523772,0.099993552124375,0.8752146297031523,0.3814571345040485
