variable,coefficient,std_error,t_or_z_stat,p_value
Intercept,-0.026731537794889695,0.4470823898136553,-0.05979107744778641,0.9523220320292569
x,-0.20507540312042633,0.20997520047141205,-0.9766648759473249,0.3287350894356854
