country_id,country_name,reference_year,coe_nom_ppp,gdp_fc_nom_ppp,employment,employees,hours_total,correction_factor,prod_nom_ppp_per_hour,coe_nom_ppp_per_hour_raw,coe_nom_ppp_corrected,coe_nom_ppp_per_hour_corrected,labour_share_emp_only,labour_share_corrected,ln_prod_nom_ppp_per_hour,ln_coe_nom_ppp_per_hour_corrected,country_label
CAN,Canada,2023,1082.1,1927.9,20772.775,19299.7,35183.99,1.0763263159530978,0.054794808661553174,0.03075546576724243,1164.692706492847,0.033102917164677656,0.5612842989781627,0.604125061721483,-2.9041598219689786,-3.408133868619131,CAN
DEU,Germany,2023,1992.5,3457.3,45935.0,42148.0,61496.006,1.08985005219702,0.056219911257326206,0.03240047817089129,2171.5262290025626,0.035311662825754285,0.5763167789893847,0.6280988716635995,-2.878484291994392,-3.343541977945766,DEU
FRA,France,2023,1326.9,2244.9,30395.0,27065.0,45685.815,1.1230371328283761,0.04913779036228203,0.02904402602864806,1490.1579715499724,0.03261751971700565,0.5910730990244555,0.6637970384204073,-3.0131268790726393,-3.4229057203329267,FRA
GBR,United Kingdom,2023,1262.5,2346.2,33348.734,28881.034,49902.81212,1.1546932149312936,0.04701538651485518,0.025299175464583015,1457.8001838507582,0.029212786252310267,0.538104168442588,0.6213452322269024,-3.057280358190321,-3.5331487801986228,GBR
ITA,Italy,2023,855.9,1966.4,26077.7,20052.8,44560.823,1.3004518072289157,0.044128448884348484,0.01920745494310103,1113.056701807229,0.024978369493023705,0.43526240846216435,0.5660377857034321,-3.12065060509819,-3.689745048912097,ITA
JPN,Japan,2023,2051.5,3715.0,68553.0,61058.0,110421.402,1.122752137312064,0.03364384016786891,0.018578825869282115,2303.326009695699,0.02085941645348516,0.5522207267833109,0.6200070012639837,-3.391925295580756,-3.8699498042262497,JPN
USA,United States,2023,9233.0,16906.1,163124.0,153396.0,291066.0,1.063417559779916,0.05808339002150714,0.03172132780881312,9818.534329447964,0.03373301701142684,0.5461342355717759,0.5807687361040077,-2.8458755420300528,-3.3892781879724625,USA
