country_id,country_name,year,gva_nom_nc,lctot_nom_nc,gva_ph_real_nc,gva_ph_nom_nc,lc_ph_nom_nc,ulc_index,ulc_nom_nc,ln_gva_ph_real,ln_gva_ph_nom,ln_lc_ph_nom,ln_ulc_nom,g_prod_real,g_prod_nom,g_p_output,g_lc_nom,g_w_real_output,g_ulc_nom,g_ulc_identity,g_ulc_gap_check,labour_share,ln_labour_share,dln_labour_share,ulc_index_rebased,labour_share_index,prod_index,w_real_output_index,gap_firm,gap_from_ls
CAN,Canada,1970,84959.56,,,,3.454504318,,,,,1.2396789789097467,,,,,,,,,,,,,,,,,,
CAN,Canada,1971,92687.703,,,,3.72731587,,,,,1.3156883687169976,,,,,0.07600938980725092,,,,,,,,,,,,,
CAN,Canada,1972,103203.9,,,,4.064363544,,,,,1.402257160999755,,,,,0.08656879228275738,,,,,,,,,,,,,
CAN,Canada,1973,121306.337,,,,4.440928915,,,,,1.4908635696517984,,,,,0.0886064086520435,,,,,,,,,,,,,
CAN,Canada,1974,145057.364,,,,5.130173698,,,,,1.6351395178687256,,,,,0.14427594821692713,,,,,,,,,,,,,
CAN,Canada,1975,166852.363,,,,5.956930828,,,,,1.7845553866939547,,,,,0.14941586882522917,,,,,,,,,,,,,
CAN,Canada,1976,191258.801,,,,6.867194382,,,,,1.9267556359220543,,,,,0.1422002492280996,,,,,,,,,,,,,
CAN,Canada,1977,211519.401,,,,7.521343547,,,,,2.0177447851682797,,,,,0.09098914924622536,,,,,,,,,,,,,
CAN,Canada,1978,235368.433,,,,7.94956237,,,,,2.0731168793523125,,,,,0.05537209418403277,,,,,,,,,,,,,
CAN,Canada,1979,270074.639,,,,8.522073789,,,,,2.142659713688439,,,,,0.06954283433612662,,,,,,,,,,,,,
CAN,Canada,1980,306043.687,,,,9.33016462,,,,,2.233252658862224,,,,,0.09059294517378502,,,,,,,,,,,,,
CAN,Canada,1981,345593.0,,,,10.53309008,,,,,2.354521737987208,,,,,0.12126907912498375,,,,,,,,,,,,,
CAN,Canada,1982,364857.0,,,,11.84553996,,,,,2.4719514220508674,,,,,0.1174296840636595,,,,,,,,,,,,,
CAN,Canada,1983,398071.0,,,,12.41394153,,,,,2.5188201579755356,,,,,0.046868735924668226,,,,,,,,,,,,,
CAN,Canada,1984,436590.0,,,,12.97248332,,,,,2.562830446462053,,,,,0.044010288486517446,,,,,,,,,,,,,
CAN,Canada,1985,471406.0,,,,13.50828968,,,,,2.6033035473629673,,,,,0.04047310090091427,,,,,,,,,,,,,
CAN,Canada,1986,492390.0,,,,13.90910817,,,,,2.6325438895736872,,,,,0.029240342210719916,,,,,,,,,,,,,
CAN,Canada,1987,535697.0,,,,14.56423237,,,,,2.67856868528066,,,,,0.04602479570697282,,,,,,,,,,,,,
CAN,Canada,1988,581959.0,,,,15.44255416,,,,,2.7371269557859113,,,,,0.0585582705052512,,,,,,,,,,,,,
CAN,Canada,1989,620489.0,,,,16.31325087,,,,,2.791977714368376,,,,,0.05485075858246491,,,,,,,,,,,,,
CAN,Canada,1990,645643.0,,,,17.17698791,,,,,2.8435705758064715,,,,,0.05159286143809538,,,,,,,,,,,,,
CAN,Canada,1991,650460.0,,,,18.27308433,,,,,2.9054291755175545,,,,,0.061858599711082984,,,,,,,,,,,,,
CAN,Canada,1992,665067.0,,,,18.96385221,,,,,2.9425346518224136,,,,,0.03710547630485905,,,,,,,,,,,,,
