country_id,country_name,year,gva_real_ppp,employment,employees,wage_pe_fte_real_ppp,prod_real_ppp_per_employee,prod_real_ppp_per_employed,employee_share_of_employment,ln_prod_real_ppp_per_employee,ln_prod_real_ppp_per_employed,ln_wage_real_ppp,g_prod_employee,g_prod_employed,g_wage_real_ppp,prod_employee_index,wage_real_ppp_index,prod_employed_index,gap_worker_employee,gap_worker_employed
CAN,Canada,1970,,8520.016547,7537.074214,,,,0.8846314056342878,,,,,,,,,,,
CAN,Canada,1971,,8703.452103,7714.440855,,,,0.8863656355781981,,,,,,,,,,,
CAN,Canada,1972,,8911.687807,7955.102553,,,,0.8926594743087144,,,,,,,,,,,
CAN,Canada,1973,,9327.840043,8394.87944,,,,0.8999810675677128,,,,,,,,,,,
CAN,Canada,1974,,9671.956007,8712.936181,,,,0.9008453072671218,,,,,,,,,,,
CAN,Canada,1975,,9798.161508,8837.432744,,,,0.9019480579886764,,,,,,,,,,,
CAN,Canada,1976,,9852.579384,8924.6898,,,,0.9058226736536792,,,,,,,,,,,
CAN,Canada,1977,,10065.75562,9122.90254,,,,0.9063306208103629,,,,,,,,,,,
CAN,Canada,1978,,10352.58267,9364.855504,,,,0.9045912312429764,,,,,,,,,,,
CAN,Canada,1979,,10812.55995,9775.95578,,,,0.904129625658168,,,,,,,,,,,
CAN,Canada,1980,,11160.74901,10120.79134,,,,0.906820082678304,,,,,,,,,,,
CAN,Canada,1981,,11489.19488,10418.65996,,,,0.9068224596082404,,,,,,,,,,,
CAN,Canada,1982,,11110.40545,10030.73078,,,,0.9028231080441803,,,,,,,,,,,
CAN,Canada,1983,,11202.17996,10076.50238,,,,0.8995126320038158,,,,,,,,,,,
CAN,Canada,1984,,11484.27879,10314.23954,,,,0.8981181777806703,,,,,,,,,,,
CAN,Canada,1985,,11885.6674,10651.72507,,,,0.8961823271278818,,,,,,,,,,,
CAN,Canada,1986,,12228.63834,11003.95876,,,,0.8998515169105901,,,,,,,,,,,
