country_id,country_name,reference_year,gva_real_ppp,employment,employees,wage_pe_fte_real_ppp,prod_real_ppp_per_employee,prod_real_ppp_per_employed,ln_prod_real_ppp_per_employee,ln_prod_real_ppp_per_employed,ln_wage_real_ppp,country_label
CAN,Canada,2023,1890003.445,20772.775,19299.7,69299.313,97.92916185225677,90.98463951012803,4.584244379054771,4.510690695677102,11.146190271708942,CAN
DEU,Germany,2023,4213160.121,45935.0,42148.0,68104.229,99.96109236499953,91.720041819963,4.604781033928245,4.518740913942096,11.128794590062645,DEU
FRA,France,2023,2845678.588,30395.0,27065.0,60140.542,105.14238270829485,93.62324684981083,4.655315457378143,4.539278716426399,11.004439468806533,FRA
GBR,United Kingdom,2023,3164023.743,33348.734,28881.034,62797.046,109.55368644349782,94.87687727516133,4.6964147162603105,4.552580022346508,11.047663313133398,GBR
ITA,Italy,2023,2338797.526,26077.7,20052.8,50514.489,116.63196790473151,89.68572864938243,4.7590234036184125,4.496311655508113,10.830015485003482,ITA
JPN,Japan,2023,5537106.542,68553.0,61058.0,49173.069,90.68601234891415,80.7711776581623,4.507403126362805,4.3916201897386795,10.803101374565564,JPN
USA,United States,2023,23945668.1,163124.0,153396.0,82078.428,156.10360178883414,146.79426755106545,5.050519900854389,4.989032066038305,11.31543050817441,USA
