variable,coefficient,std_error,t_or_z_stat,p_value
Intercept,0.009081424471807271,0.023658824507642506,0.38384935265375086,0.7010901066808282
C(Reference_Area)[T.France],0.0038702936019775524,0.007225529105607547,0.5356415489315401,0.592206307554247
C(Reference_Area)[T.Germany],-0.012039374453203452,0.008051326965667788,-1.4953279756916307,0.1348288673743778
C(Reference_Area)[T.Italy],-0.0038616079689208875,0.008661687017337952,-0.4458263108781433,0.655722714638199
C(Reference_Area)[T.Japan],-0.005586328797577139,0.007740149776573523,-0.7217339404057557,0.4704580707471431
C(Reference_Area)[T.United Kingdom],-0.0006986660258017683,0.007116051853129998,-0.09818169403788982,0.9217880182677367
C(Reference_Area)[T.United States],-0.012853628123904975,0.004735792881538042,-2.7141449057059495,0.006644709401128985
C(Year)[T.2002],-0.015935364051998153,0.02212819248191987,-0.7201385321019035,0.47143970524803336
C(Year)[T.2003],-0.0031825326518661397,0.01874584079049738,-0.16977273451929803,0.8651888703178241
C(Year)[T.2004],-0.016287730372276907,0.007918883934486377,-2.056821454516411,0.039703403553421085
C(Year)[T.2005],-0.00580903670378235,0.01634593339910667,-0.35538115578641855,0.7223040642174947
C(Year)[T.2006],-0.006503252661022006,0.015888412740969856,-0.4093078878957318,0.6823137276024429
C(Year)[T.2007],-0.003395602150062439,0.011803695194487566,-0.2876728087360487,0.773597206036569
C(Year)[T.2008],0.012881015972627505,0.023718646917140554,0.5430754974188216,0.5870778222727697
C(Year)[T.2009],0.06993010974810504,0.037240107398650316,1.8778170803728536,0.06040619283853996
C(Year)[T.2010],-0.03963817915924694,0.016282349545152102,-2.434426250912221,0.01491541898741737
C(Year)[T.2011],-0.013035241918919546,0.023677919329535373,-0.5505231155450234,0.5819606266804401
C(Year)[T.2012],0.013641200011223032,0.029417009733471704,0.46371810509691597,0.642849723948741
C(Year)[T.2013],0.0010926453984868563,0.016865893355498738,0.06478431799941534,0.9483457276419696
C(Year)[T.2014],-0.017469057044911574,0.0231148272803102,-0.7557511390012489,0.4497984168216247
C(Year)[T.2015],0.000173736310455118,0.026162986683463087,0.006640538121931316,0.9947016560970715
C(Year)[T.2016],-0.007239110288947042,0.014771056641716714,-0.49008750453926236,0.6240719797853965
C(Year)[T.2017],-0.017330126127438426,0.0222874344187226,-0.7775738473011601,0.43682028373359616
C(Year)[T.2018],0.011232667132061034,0.02249273474773188,0.49939090368696554,0.6175040261248599
C(Year)[T.2019],0.0020856532421465413,0.02423350537294496,0.08606485979015771,0.931414857766317
C(Year)[T.2020],0.03472510997368083,0.01990402468402191,1.74462755773995,0.08104972066301191
C(Year)[T.2021],-0.012188619364576709,0.02447983325410484,-0.49790450931821156,0.6185513488382658
C(Year)[T.2022],-0.06596631167985946,0.034842139362031135,-1.8932910805053944,0.05831917066959066
dx,-0.40953692904910977,0.28481370953124807,-1.4379115728773506,0.15045914563923404
